         273786 function calls (273785 primitive calls) in 0.183 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.183    0.183 minesweeper.py:235(uncover)
        1    0.004    0.004    0.105    0.105 minesweeper.py:239(_update)
        1    0.009    0.009    0.078    0.078 minesweeper.py:133(minesweep)
     1066    0.001    0.000    0.078    0.000 __init__.py:1730(blit_into)
     1066    0.002    0.000    0.077    0.000 __init__.py:1622(blit_into)
     8512    0.065    0.000    0.071    0.000 lib.py:87(errcheck)
     1066    0.010    0.000    0.067    0.000 __init__.py:906(blit_to_texture)
     7969    0.011    0.000    0.032    0.000 queue.py:154(get)
     7969    0.010    0.000    0.027    0.000 queue.py:122(put)
       70    0.000    0.000    0.022    0.000 sprite.py:193(__init__)
       70    0.000    0.000    0.021    0.000 sprite.py:382(_create_vertex_list)
       70    0.000    0.000    0.019    0.000 __init__.py:347(add)
       70    0.000    0.000    0.017    0.000 __init__.py:437(_get_domain)
    15938    0.009    0.000    0.016    0.000 threading.py:359(notify)
       70    0.000    0.000    0.016    0.000 vertexdomain.py:125(create_domain)
       70    0.001    0.000    0.014    0.000 vertexdomain.py:158(__init__)
      210    0.000    0.000    0.013    0.000 vertexbuffer.py:89(create_mappable_buffer)
      210    0.001    0.000    0.012    0.000 vertexbuffer.py:383(__init__)
      210    0.003    0.000    0.011    0.000 vertexbuffer.py:292(__init__)
     7970    0.005    0.000    0.009    0.000 queue.py:97(empty)
    15938    0.005    0.000    0.007    0.000 threading.py:279(_is_owned)
    15938    0.004    0.000    0.007    0.000 threading.py:264(__enter__)
     8722    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    15938    0.004    0.000    0.006    0.000 threading.py:267(__exit__)
    15939    0.003    0.000    0.005    0.000 queue.py:209(_qsize)
     7969    0.002    0.000    0.003    0.000 queue.py:217(_get)
     7969    0.002    0.000    0.003    0.000 queue.py:213(_put)
    15938    0.003    0.000    0.003    0.000 {method 'acquire' of '_thread.lock' objects}
    23908    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.lock' objects}
